Слово,Частота
всем,9
весь,9
мной,9
немного,9
свете,9
вечно,9
безупречных,9
бросить,9
мало,9
имя,9
дальше,9
преврати,9
пустых,9
поверю,9
твоих,8
она,8
ума,8
останься,8
хочешь,8
полу,8
гдето,8
свою,8
словах,8
делает,8
делаем,8
одни,8
верю,8
сильнее,8
лицо,8
время,8
лучше,8
слышишь,8
закат,8
квартир,8
ооо,8
ему,8
видеть,8
длиться,8
эти,8
друзей,8
тем,8
одинаков,8
зодиака,8
будь,8
созвездия,8
гасят,8
рухнули,8
наземь,8
наконец,8
закроются,8
крякря,8
потому,7
долго,7
нужно,7
голову,7
были,7
будущее,7
прошу,7
стать,7
крыше,7
наших,7
нужны,7
одна,7
есть,7
нём,7
вечный,7
ночи,7
дома,7
чёрные,7
попрошу,7
дайте,7
дым,7
год,7
или,7
тысячи,7
голос,7
значит,7
тобою,7
твоё,7
похожа,7
вернуться,7
другим,7
снос,7
искать,7
внутри,7
верь,7
вокруг,7
обычный,7
хуже,7
столько,7
колыбельные,7
брайана,7
молко,7
ко,7
стране,7
хочется,7
бейонсе,7
оставь,7
снизу,7
этажей,7
засыпай,7
будем,6
ждать,6
денег,6
луна,6
о,6
неужели,6
надежду,6
шанс,6
бьётся,6
памяти,6
пентаграмма,6
явится,6
бафомет,6
оскалит,6
зубы,6
пистолет,6
ценой,6
достигнут,6
паритет,6
исключив,6
момент,6
вместе,6
смерть,6
своим,6
неба,6
дверь,6
взгляд,6
навсегда,6
люди,6
нашей,6
океан,6
дни,6
однажды,6
вновь,6
бессмысленной,6
много,6
лета,6
прости,6
других,6
собой,6
частью,6
цвета,6
спасать,6
лучший,6
закончится,6
скоро,6
шаг,6
едем,6
стиле,6
каждую,6
страшно,6
назло,6
двуличия,6
устала,6
разочарованных,6
чувствую,6
молчать,6
точкой,6
горизонта,6
кадром,6
эпизода,6
стоя,6
края,6
убил,5
поздно,5
слов,5
кем,5
глазах,5
стоит,5
проблем,5
нами,5
лето,5
наверх,5
улыбкой,5
строчкой,5
стихах,5
пишу,5
возвращайся,5
прошло,5
руках,5
пойду,5
снится,5
смотреть,5
ощупь,5
обратно,5
счастье,5
отсюда,5
плывёт,5
об,5
девочка,5
веселей,5
весело,5
гудрон,5
нефтяной,5
бескрайний,5
спальне,5
тьма,5
смеётся,5
ответ,5
громче,5
хлопает,5
дверью,5
стене,5
том,5
деньги,5
тот,5
какой,5
третье,5
января,5
б,5
свой,5
начнём,5
душе,5
вода,5
им,5
жабры,5
уснуть,5
барбитурат,5
своё,5
окнах,5
вдруг,5
страх,5
ааа,5
вспоминать,5
встретил,5
маской,5
наш,5
засунуть,5
колен,5
укрыться,5
реветь,5
велик,5
соблазн,5
липофрения,5
счастливая,5
считая,5
скажу,5
вальс,5
стал,5
груди,5
кончается,5
умрём,5
питер,5
новую,5
подгоревшей,5
яичницы,5
чужие,5
станем,5
остается,5
мечтать,5
звёзд,4
самый,4
вечер,4
решение,4
адвокаты,4
судьи,4
бэтмен,4
кричит,4
спрятать,4
сосед,4
семьи,4
адресат,4
чего,4
даст,4
сон,4
такой,4
раньше,4
своём,4
своей,4
увижу,4
темноте,4
москве,4
лёжа,4
нравится,4
схожу,4
становлюсь,4
нормальным,4
исчезла,4
ваша,4
свиньёй,4
пришлось,4
тела,4
tiktokа,4
побудь,4
одиноко,4
смотрите,4
взрослый,4
делают,4
тогда,4
родителей,4
песни,4
кроме,4
быстро,4
возвращаться,4
вроде,4
ктото,4
какая,4
больно,4
стены,4
забытые,4
тиши,4
замочных,4
скважин,4
расскажем,4
камнем,4
драмы,4
трагедии,4
правила,4
догмы,4
смешают,4
бетоном,4
просыпались,4
музы,4
гении,4
словам,4
поумнее,4
отрастили,4
невозможно,4
вдалеке,4
нельзя,4
тоски,4
эмомастурбация,4
стагнация,4
семья,4
сделал,4
секунды,4
ней,4
посмотри,4
человек,4
удар,4
оскорблен,4
твоею,4
жалостью,4
при,4
влачить,4
лжи,4
самую,4
скрывать,4
ото,4
тёмную,4
начать,4
боюсь,4
похож,4
разница,4
умирает,4
скажи,4
над,4
вещи,4
через,4
реальности,4
оставишь,4
моим,4
одиночеством,4
беги,4
кемто,4
отпускай,4
поведение,4
хорошее,4
i,4
гордо,4
осталось,4
помнит,4
вселенной,4
вот,4
страдания,4
виски,4
засыпали,4
нужен,4
близко,4
нико—,4
тюрьму,4
прямо,4
сны,4
сомнений,4
уезжай,4
зимааа,4
наплевать,4
повторяй,4
человекслон,4
одеялом,4
вид,4
сильней,4
долг,4
тайги,4
молчит,4
игрушки,4
видят,4
твою,4
мысль,4
ловят,4
надоело,4
мммм,4
тёплого,4
остался,4
изменилось,4
города,3
улицу,3
ничто,3
танцуй,3
ян,3
кёртис,3
забери,3
звезда,3
поезд,3
десять,3
желание,3
помоги,3
семь,3
пять,3
четыре,3
окину,3
взглядом,3
бытия,3
стань,3
него,3
час,3
огнём,3
тёмным,3
иначе,3
вздох,3
сойти,3
везёт,3
друзья,3
дворам,3
каждой,3
наивных,3
глупой,3
помни,3
детство,3
почти,3
секунду,3
делай,3
белый,3
липкий,3
новостей,3
грязи,3
ненависть,3
года,3
домов,3
едет,3
городом,3
лес,3
сердца,3
утром,3
первый,3
кончилась,3
вечная,3
остаётся,3
найду,3
мыслью,3
разбросанных,3
дому,3
мыслях,3
ищу,3
моветон,3
самолётиком,3
бумажным,3
приземлюсь,3
балкон,3
королева,3
причин,3
того,3
окно,3
пальцами,3
открывая,3
холодном,3
кажется,3
осталась,3
пустота,3
говорит,3
странная,3
звуки,3
рта,3
идёт,3
взять,3
волнами,3
квартире,3
чём,3
усну,3
пожалуйста,3
съешь,3
оставив,3
долгов,3
самым,3
синий,3
дела,3
стоял,3
бог,3
всеми,3
закрыл,3
глазами,3
смог,3
давно,3
подошвой,3
объятиях,3
потолка,3
веру,3
крики,3
воздух,3
улицы,3
славу,3
ожидании,3
пить,3
поновой,3
жену,3
чьейто,3
кухне,3
зажжётся,3
близки,3
спящий,3
задушит,3
вечной,3
найди,3
другу,3
наверное,3
жаль,3
пришла,3
плакали,3
настанет,3
выключи,3
крутая,3
сколько,3
кричат,3
комнате,3
должен,3
улыбаясь,3
скрывает,3
палец,3
принять,3
поможет,3
to,3
чёрт,3
ним,3
смогу,3
извести,3
пропасти,3
всей,3
скажут,3
вызывай,3
врача,3
наградой,3
поводом,3
стали,3
несёмся,3
кругу,3
карусель,3
врагов,3
небоскрёбы,3
царапают,3
облака,3
прячем,3
правду,3
черновиках,3
ждём,3
мечты,3
разбудит,3
спит,3
ушёл,3
сыграем,3
ложью,3
затанцуют,3
августе,3
растаял,3
принесу,3
домам,3
прекрасна,3
внешность,3
подарок,3
часто,3
землёй,3
точки,3
граница,3
прошлым,3
чему,3
стремиться,3
встретим,3
фальши,3
болью,3
груз,3
недосказанности,3
выпусти,3
чувство,3
гнетущее,3
море,3
ради,3
минуту,3
тепло,3
тоже,3
живём,3
пополам,3
афган,3
другой,3
диктует,3
рисует,3
сжигает,3
письма,3
проснёмся,3
кружишь,3
сама,3
проблемы,3
оркестр,3
добавит,3
смешком,3
спиной,3
пешком,3
длинная,3
вэйдер,3
звезду,3
такая,3
детские,3
руку,3
жене,3
давайте,3
закроем,3
сделаем,3
хорошо,3
приличия,3
свобода,3
белым,3
джунгли,3
накрывай,3
подушке,3
ёлок,3
ледяной,3
снежная,3
африка,3
пламя,3
обстоятельства,3
запах,3
предательства,3
зачем,3
отрицать,3
получается,3
вернёмся,3
спасения,3
никаких,3
впустую,3
сразу,3
штукатуркой,3
падал,3
остывшие,3
сможет,3
бесконечное,3
беззаботное,3
беспросветное,3
беспробудное,3
сжалится,3
подарит,3
четверга,3
пятницу,3
приближайся,3
островкрепость,3
защищать,3
гляди,3
частокол,3
светом,2
выйду,2
устрою,2
хаос,2
второе,2
пришествие,2
всемирный,2
потоп,2
мертвы,2
никон,2
вашего,2
бога,2
шары,2
карманах,2
верну,2
утра,2
можешь,2
полумраке,2
сатана,2
ад,2
земля,2
инопланетян,2
видишь,2
зарево,2
выбираю,2
вперёд,2
песен,2
ближе,2
одиннадцать,2
секунд,2
последнее,2
развяжи,2
путы,2
избежать,2
столкновения,2
восемь,2
прежним,2
сгустком,2
лицемерия,2
шесть,2
неисповедим,2
человека,2
убили,2
горят,2
дал,2
картбланш,2
мешок,2
заставляют,2
дождь,2
куда,2
похоже,2
идеальным,2
знали,2
запомнить,2
деталях,2
италия,2
пустой,2
трамвай,2
туда,2
спят,2
них,2
детстве,2
городу,2
улицей,2
снах,2
незаконченных,2
память,2
домах,2
разбуди,2
вытащи,2
силой,2
утро,2
помню,2
лица,2
забирай,2
сможешь,2
телом,2
оно,2
сделать,2
кого,2
чёрный,2
смотрят,2
вдаль,2
целует,2
городской,2
силуэт,2
нагасаки,2
толстяк,2
рассвет,2
костре,2
инквизиции,2
юность,2
безвозвратно,2
увидели,2
две,2
ярдов,2
дыме,2
зима,2
взрослеть,2
водки,2
далеко,2
нежно,2
собирай,2
руками,2
луны,2
изза,2
спину,2
прощанье,2
квартиры,2
закрою,2
одинок,2
одежде,2
голом,2
ужаса,2
поту,2
понять,2
вселенная,2
спастись,2
крыса,2
судьба,2
чёрное,2
залив,2
знает,2
двух,2
пиздёж,2
нахуй,2
гордость,2
страсть,2
комуто,2
улыбаются,2
смешно,2
земли,2
главное,2
снимай,2
футболку,2
мечта,2
мою,2
судьбою,2
отпущены,2
смотря,2
печальные,2
похожи,2
всю,2
страха,2
истерики,2
развалившийся,2
берегу,2
кит,2
пора,2
честным,2
били,2
куранты,2
урод,2
фоне,2
прекрасной,2
пьян,2
свадьбу,2
нормально,2
тост,2
повод,2
напиться,2
пинался,2
животе,2
невесты,2
продержаться,2
неделю,2
вино,2
разливалось,2
серебром,2
бокалам,2
громко,2
смеялся,2
плакал,2
людям,2
замуж,2
серые,2
разрушение,2
забуду,2
ранен,2
забыл,2
спой,2
светит,2
видно,2
рыбы,2
глядя,2
накрыло,2
илом,2
тиной,2
городские,2
крыши,2
спрятались,2
кораллами,2
дураков,2
смыло,2
головой,2
водой,2
тут,2
повсюду,2
друга,2
отдых,2
остаться,2
понедельник,2
панельных,2
таблетки,2
места,2
фонари,2
колесе,2
звери,2
рёбер,2
иногда,2
делаю,2
лицами,2
хотя,2
спали,2
тихо,2
индиго,2
нуклеарная,2
днём,2
поменял,2
местами,2
никак,2
знала,2
выключите,2
святая,2
враги,2
увидят,2
устроим,2
кровавое,2
месиво,2
бездыханных,2
телах,2
зена,2
воинов,2
плевать,2
будут,2
про,2
голоса,2
происходит,2
плечах,2
алкоголь,2
дело,2
вечеринка,2
камон,2
вы,2
ванной,2
любить,2
агрессивно,2
пассивен,2
бесконечно,2
силы,2
угодно,2
блеск,2
снегом,2
подъезда,2
аккорд,2
объятьях,2
сожми,2
умер,2
железным,2
замком,2
придёт,2
комиссар,2
заберёт,2
прочитав,2
листа,2
сна,2
что…,2
землю,2
запад,2
насмешливый,2
звон,2
стаканов,2
оптимист,2
сахар,2
сказка,2
vhs,2
трёх,2
соснах,2
шагу,2
тёмный,2
вру,2
никому,2
стульев,2
космоса,2
искал,2
рад,2
увидеть,2
солнца,2
освещает,2
ей,2
париж,2
софитов,2
бриллиант,2
блестит,2
мамин,2
крик,2
отец,2
загул,2
серого,2
света,2
подушкой,2
милая,2
очень,2
круглый,2
сидит,2
молчанку,2
секреты,2
пускай,2
сплетни,2
спрячешься,2
земле,2
одиночество,2
слёз,2
следующий,2
парень,2
знать,2
единственный,2
дед,2
мороз,2
двенадцать,2
месяцев,2
нормальную,2
подарков,2
чудес,2
красивым,2
запись,2
стыдно,2
отрицаю,2
явление,2
обстоятельно,2
выверен,2
подвергаю,2
сомнению,2
счастливее,2
смятении,2
разок,2
обязательно,2
выгорит,2
полюби,2
of,2
погоди,2
гладь,2
иди,2
сказав,2
свидания,2
начнем,2
выплюнь,2
молодость,2
клянусь,2
построю,2
титаник,2
призрак,2
вернувшись,2
обещаю,2
бисером,2
роняю,2
нечаянно,2
зыбучие,2
пески,2
восхитительно,2
пытались,2
скрыть,2
намёки,2
посеребрённые,2
предела,2
причал,2
уу,2
двадцать,2
терять,2
остановиться,2
одно,2
разорванных,2
листах,2
привет,2
the,2
his,2
and,2
субатомного,2
ноги,2
устали,2
приказ,2
никакой,2
бензина,2
кричал,2
ведь…,2
клубе,2
малая,2
плачь,2
рви,2
обожглась,2
объятия,2
пробуешь,2
ладони,2
поймать,2
листья,2
падают,2
парке,2
насквозь,2
сюда,2
оставить,2
обиду,2
родился,2
обычным,2
периферии,2
страны,2
яркие,2
пути,2
млечного,2
заводов,2
останусь,2
средний,2
флагшток,2
протест,2
стяг,2
искалечен,2
безупречен,2
оооооо,2
ждёт,2
вернёт,2
сравняли,2
самолёты,2
рисуют,2
химиотрассы,2
рожай,2
стреляй,2
пустеет,2
кровать,2
должны,2
летать,2
джабба,2
палпатин,2
остановят,2
смерти,2
целый,2
мешком,2
окна,2
белая,2
землей,2
свое,2
билет,2
святым,2
вида,2
сто,2
встречает,2
разбавь,2
отпусти,2
громких,2
витрин,2
вдыхая,2
сигаретный,2
пахнет,2
спрятанный,2
сдохнуть,2
драке,2
ножах,2
этим,2
серым,2
лицемерным,2
собственным,2
страхам,2
ударов,2
кнута,2
родится,2
украсть,2
крышку,2
ниже,2
упасть,2
задыхаясь,2
городах,2
мире,2
полон,2
оставленные,2
клятвы,2
соврёт,2
воскресенье,2
поставит,2
свечу,2
получит,2
прощенье,2
степи,2
взгляну,2
проливным,2
дождем,2
прощаясь,2
ждет,2
верить,2
важней,2
послушаем,2
крутится,2
песня,2
джесси,2
джей,2
жду,2
насмехается,2
салют,2
оставаться,2
старше,2
проще,2
унисон,2
район,2
танцует,2
заберите,2
твоим,2
одних,2
сожгу,2
согрею,2
неё,2
некролог,2
утопает,2
рассвете,2
склепом,2
уедем,2
замироточит,2
проснёшься,2
самой,2
холодной,2
весны,2
тратит,2
неофита,2
тону,2
испорченных,2
страниц,2
глупости,2
обиды,2
запихивая,2
релиз,2
поем,2
играй,1
бь,1
возьми,1
спички,1
жечь,1
нежеланные,1
нежеланных,1
поколение,1
оставившее,1
следа,1
истории,1
озарится,1
огней,1
дирижабль,1
взорвавшийся,1
упавший,1
маленьким,1
солнцем,1
монстр,1
застрявший,1
человеческом,1
теле,1
нового,1
чинить,1
старое,1
презираю,1
группу,1
кулаки,1
займи,1
косарь,1
срочно,1
идеи,1
безумнее,1
черней,1
шире,1
законно,1
притона,1
радуйся,1
простому,1
мечтай,1
великом,1
размозжи,1
купив,1
дробовик,1
конца,1
зажжется,1
небесах,1
перевёрнутая,1
заговор,1
врачей,1
плоская,1
захватят,1
пришельцы,1
голубая,1
мафия,1
спид,1
придумал,1
уинстон,1
черчилль,1
геноцид,1
землян,1
метро,1
ютятся,1
черти,1
прячут,1
американцы,1
луне,1
иллюминаты,1
правят,1
живя,1
подземном,1
городе,1
масоны,1
готовят,1
последней,1
ядерной,1
войне,1
доводы,1
весомы,1
верит,1
судного,1
дня,1
выбирает,1
летящий,1
машинист,1
предрешённость,1
прикован,1
рельсам,1
спасёт,1
пустит,1
состав,1
наклонной,1
уши,1
слышат,1
оглушён,1
крахом,1
мечтаний,1
моем,1
взгляде,1
тихая,1
покорность,1
фатуму,1
осознание,1
бесцельности,1
атомов,1
эхо,1
экзистенциального,1
поражения,1
умоляю,1
нечто,1
большим,1
являюсь,1
фонарём,1
тёмной,1
субботний,1
опускается,1
облаком,1
старом,1
баре,1
детектив,1
продолжает,1
курить,1
вливать,1
литрами,1
скотч,1
шприц,1
спасет,1
агонии,1
добровольно,1
падает,1
юная,1
леди,1
переулке,1
фонарей,1
трое,1
сильных,1
парней,1
явно,1
играет,1
лезвии,1
ножа,1
похотливым,1
надежда,1
рыцарь,1
маске,1
плащом,1
мусс,1
заебись,1
молись,1
зиме,1
вернулась,1
дурость,1
слабость,1
кончалось,1
плакать,1
сменится,1
градом,1
поедем,1
скажешь,1
осенний,1
штрихи,1
морщинок,1
уехал,1
причины,1
искусство,1
тонкое,1
доступное,1
сильным,1
мрак,1
подвала,1
запрещала,1
мама,1
закатятся,1
сне,1
ярче,1
огни,1
потерялись,1
нелепой,1
наперевес,1
внезапно,1
расстрел,1
предвзятый,1
трибунал,1
получил,1
радостней,1
став,1
прячемся,1
подъездах,1
разрушенных,1
храня,1
частичку,1
детства,1
испачканных,1
ледяное,1
февраля,1
упал,1
снаряд,1
бумага,1
похоронки,1
позор,1
чистый,1
слеза,1
ребёнка,1
крепкий,1
жгут,1
ними,1
живых,1
душу,1
захотеть,1
пушки,1
стреляют,1
танки,1
тонут,1
болотах,1
милей,1
генералы,1
удобряют,1
чьюто,1
степь,1
войны,1
синевы,1
испортит,1
ясный,1
смелости,1
попросить,1
то…,1
развернётся,1
бронетранспортёр,1
двинется,1
заброшенных,1
сёл,1
сером,1
пузе,1
детёнышей,1
привезёт,1
убийц,1
погонах,1
нищету,1
начнётся,1
заново,1
увидишься,1
отцом,1
взгляни,1
хатынское,1
разорвался,1
русский,1
хоровод,1
социопат,1
заднем,1
сиденье,1
такси,1
учит,1
тротил,1
гараже,1
прячьтесь,1
норам,1
простил,1
взорвёт,1
папьемаше,1
nissan,1
петляет,1
сумбуре,1
вдоль,1
элеватора,1
тихий,1
вуайерист,1
высади,1
выслушай,1
найдём,1
компромисс,1
зенками,1
чёрными,1
смотрит,1
остаюсь,1
лежать,1
гетто,1
координат,1
укрывает,1
пеленой,1
туктуктук,1
стучатся,1
безупречные,1
серых,1
кителях,1
обвинительно,1
стукстукстук,1
ритм,1
увечья,1
надрывный,1
вой,1
сирены,1
увозит,1
конвой,1
пепельносерым,1
выпадет,1
растворить,1
сигарет,1
скроет,1
следы,1
темно–,1
разума,1
звонкий,1
разносит,1
эхом,1
черепной,1
коробке,1
выбьет,1
пробки,1
штоф,1
делаешь,1
обнимает,1
сталинский,1
ампир,1
осколки,1
голыми,1
бензоколонки,1
повезёт,1
склею,1
полумесяце,1
разбежимся,1
ерунды,1
более,1
весомых,1
тысяча,1
суеты,1
обещаний,1
помашет,1
улыбнувшись,1
крохотный,1
игрушечный,1
масляного,1
полотна,1
считаю,1
цифры,1
автобусном,1
билете,1
заметит,1
тишина,1
мягкими,1
неоновый,1
рекламного,1
табло,1
напротив,1
ослепляет,1
взрыв,1
комет,1
снял,1
затхлый,1
номер,1
слышать,1
шумных,1
соседей,1
скорее,1
забыться,1
прервать,1
череду,1
бесполезных,1
потуг,1
место,1
аду,1
огне,1
пытаюсь,1
тонущем,1
корабле,1
корабль,1
медленно,1
ржаветь,1
дне,1
жалкий,1
танец,1
краю,1
вулкана,1
разбились,1
пары,1
стороне,1
бесцельна,1
предрешена,1
каналу,1
невы,1
мимо,1
балтийский,1
мёртвому,1
телу,1
положено,1
немым,1
смесь,1
выдуманных,1
языков,1
гортанные,1
валились,1
чёрного,1
смотрели,1
берегов,1
услышал,1
понял,1
пророчество,1
сбылось,1
само,1
гниёт,1
зелёной,1
реке,1
сгорит,1
стремительно,1
распадаясь,1
жир,1
атомы,1
проклятьем,1
грозит,1
судом,1
семье,1
виноватого,1
скрипело,1
царапая,1
скальп,1
продолжили,1
прежде,1
укроет,1
ветер,1
растащит,1
последние,1
приеду,1
набери,1
скачаю,1
фильмы,1
мишеля,1
гондри,1
воскресенья,1
среду,1
злобных,1
бывших,1
скотт,1
пилигрим,1
главный,1
квест,1
залезть,1
комплименты,1
принимаешь,1
лесть,1
отдам,1
дажедажедаже,1
абсолютно,1
хрущёвки,1
обвивают,1
шею,1
петля,1
потерялся,1
вечном,1
лабиринте,1
стала,1
гораздо,1
заведём,1
четырнадцать,1
пусто,1
ровно,1
всевышний,1
оставит,1
благословит,1
взрастим,1
юного,1
царя,1
зверей,1
планете,1
недостаточно,1
мазут,1
ползёт,1
шершавой,1
поёт,1
гнусные,1
заберётся,1
постель,1
заполнить,1
собою,1
похитить,1
сераля,1
внизу,1
мотив,1
припомнит,1
издеваясь,1
дёсны,1
беззубые,1
скаля,1
спугнут,1
победил,1
пьяное,1
прижмёт,1
мостовая,1
недели,1
пролетели,1
номере,1
отеля,1
литейном,1
октавиана,1
преисполнившись,1
похмелья,1
тихой,1
нежностью,1
отвращением,1
выбежал,1
похожего,1
спросил,1
выглядел,1
копия,1
ответив,1
прекрасно,1
прелестно,1
великолепно,1
интересно,1
давних,1
знакомых,1
порно,1
ненавидел,1
явилась,1
стараясь,1
вызвать,1
зависть,1
счастья,1
напёрсток,1
жалость,1
выскочишь,1
напомнить,1
сумеет,1
похмелье,1
кончилось,1
изменить,1
повторил,1
благодарен,1
перестать,1
заставлять,1
чувствовать,1
сбегаешь,1
плохое,1
приготовь,1
грим,1
парад,1
покалеченных,1
переживших,1
натяни,1
посильнее,1
улыбку,1
ошибка,1
снаружи,1
узнает,1
припев,1
после,1
прочтения,1
сжечь,1
замок,1
ключ,1
летит,1
пред,1
намного,1
заставили,1
остыть,1
убедиться,1
потом,1
глупых,1
заглушая,1
тишину,1
трущоб,1
луну,1
способны,1
слушать,1
мольбы,1
дворах,1
ждут,1
лужи,1
ядовитый,1
кричу,1
изо,1
звука,1
чёрных,1
глубин,1
летят,1
пузыри,1
другом,1
отчаянно,1
дышать,1
проплывали,1
недоумённо,1
пучине,1
океана,1
солёного,1
ответить,1
открыть,1
поехал,1
узнав,1
старике,1
горланит,1
солёном,1
языке,1
новость,1
резали,1
мелодии,1
фокстрота,1
ктулху,1
азатота,1
отращиваю,1
суда,1
оголённый,1
провод,1
завернувшись,1
коммунальных,1
разрисованных,1
пристальным,1
взором,1
систем,1
тяжестью,1
надеемся,1
лучшую,1
этажи,1
остановка,1
кольцевой,1
увёз,1
слово,1
придётся,1
пережить,1
живу,1
новый,1
скелетом,1
твоём,1
шкафу,1
двоих,1
встречать,1
весну,1
светят,1
топлю,1
бутылке,1
горькой,1
детьми,1
капает,1
мозг,1
кран,1
позади,1
съедение,1
клопам,1
mon,1
ami,1
попытке,1
саморазрушения,1
станции,1
утешения,1
больнице,1
сансары,1
запертые,1
необъятной,1
панораме,1
параллельных,1
припадке,1
просветления,1
наполовину,1
искренние,1
извинения,1
достать,1
хватает,1
сантиметра,1
сижу,1
языком,1
крадусь,1
дворами,1
центр,1
панельной,1
окраины,1
молюсь,1
любым,1
богам,1
украли,1
собаки,1
тех,1
бодры,1
рассвета,1
холодную,1
август,1
дождливого,1
хотят,1
веселиться,1
пугают,1
пацаны,1
заигрались,1
зарницу,1
боишься,1
плану,1
сверху,1
раздался,1
янки,1
убегайте,1
слышали,1
пьянки,1
свернётся,1
колесом,1
пророчит,1
вышло,1
несётся,1
джаханнам,1
уме,1
кидаюсь,1
ошалелый,1
богородица,1
укоризной,1
пожалеет,1
прижмусь,1
проследую,1
безмолвным,1
сателлитом,1
плохим,1
словом,1
назвать,1
захочет,1
давний,1
разрушит,1
прочным,1
залезу,1
обидчика,1
обрею,1
непривычным,1
охотником,1
добыча,1
благородная,1
вендетта,1
сделает,1
чище,1
говорить,1
круче,1
сиять,1
дарить,1
отражении,1
проклиная,1
выходя,1
миру,1
одолжение,1
которое,1
понятно,1
доппельгангер,1
врывается,1
тоналя,1
депрессия,1
пытается,1
отправить,1
побыть,1
причинять,1
объяснить,1
думаю,1
тусклее,1
краска,1
волосах,1
значат,1
рождает,1
реальность,1
сплю,1
ночам,1
читаю,1
альбера,1
камю,1
свечах,1
серость,1
будней,1
осточертело,1
способ,1
надёжный,1
проверенный,1
многими,1
избавить,1
социофобии,1
музыка,1
танцы,1
наркотики,1
делайте,1
народу,1
негде,1
сесть,1
двигайте,1
вызывайте,1
омон,1
дискоармагеддон,1
музыки,1
громкой,1
колонках,1
хотели,1
безумном,1
веселье,1
передумал,1
окончена,1
вон,1
оуоо,1
общество,1
дружелюбным,1
натужно,1
цветной,1
раскраской,1
личностную,1
пустошь,1
друзьяголограммы,1
тостера,1
системе,1
обмана,1
покажу,1
указательным,1
безымянным,1
созданы,1
прятаться,1
складывать,1
превращая,1
графоманские,1
стихи,1
надеюсь,1
узнаешь,1
сбежишь,1
набраться,1
сомкнуть,1
бессонницей,1
нищетой,1
варьете,1
запутались,1
ролях,1
декаданс,1
пляски,1
костях,1
зову,1
услышишь,1
некуда,1
деться,1
сжираемый,1
страхом,1
пастью,1
балкона,1
обливион,1
формалином,1
пепелище,1
нашего,1
приходя,1
надеваю,1
большую,1
кофту,1
отказываю,1
праве,1
закрываю,1
превращаюсь,1
кокон,1
никогданикогда,1
хотелось,1
луной,1
сторону,1
самоуважение,1
называют,1
тщеславием,1
поновому,1
молчаливых,1
криков,1
самоистязания,1
одиночества,1
неизбежность,1
вряд,1
ли,1
поймёшь,1
поверишь,1
видел,1
безумный,1
котором,1
барин,1
делать,1
омут,1
поверил,1
чудо,1
птицей,1
прочь,1
глянь,1
колотые,1
раны,1
брошенное,1
комиссарааа,1
theyre,1
coming,1
get,1
you,1
barbara,1
эскалатор,1
пересесть,1
конечной,1
мостами,1
старый,1
обветшалым,1
фасадом,1
свита,1
стёкла,1
малахита,1
целуемся,1
танце,1
макабра,1
сердцем,1
залитым,1
оправданий,1
придумать,1
запиши,1
счёт,1
позже,1
бары,1
мосты,1
площадь,1
безбожно,1
помнишь,1
первые,1
сентября,1
тёплый,1
асфальт,1
казалось,1
улице,1
взрослей,1
работаем,1
купить,1
саван,1
рождаемся,1
маленькой,1
чужих,1
крепче,1
спалось,1
заменяем,1
разрежет,1
пронзительный,1
стон,1
сирен,1
строил,1
ракету,1
бороздил,1
признаки,1
разных,1
планетах,1
брал,1
плен,1
удивительных,1
спасал,1
